title,authors,year,abstract,source_db,url,doi,arxiv_id,venue,citations,pdf_url,keywords
ALYMPICS: LLM Agents Meet Game Theory -- Exploring Strategic Decision-Making with AI Agents,Shaoguang Mao; Yuzhe Cai; Yan Xia; Wenshan Wu; Xun Wang; Fengyi Wang; Tao Ge; Furu Wei,2023,"This paper introduces Alympics (Olympics for Agents), a systematic simulation framework utilizing Large Language Model (LLM) agents for game theory research. Alympics creates a versatile platform for studying complex game theory problems, bridging the gap between theoretical game theory and empirical investigations by providing a controlled environment for simulating human-like strategic interactions with LLM agents. In our pilot case study, the ""Water Allocation Challenge,"" we explore Alympics through a challenging strategic game focused on the multi-round auction on scarce survival resources. This study demonstrates the framework's ability to qualitatively and quantitatively analyze game determinants, strategies, and outcomes. Additionally, we conduct a comprehensive human assessment and an in-depth evaluation of LLM agents in strategic decision-making scenarios. Our findings not only expand the understanding of LLM agents' proficiency in emulating human strategic behavior but also highlight their potential in advancing game theory knowledge, thereby enriching our understanding of both game theory and empowering further research into strategic decision-making domains with LLM agents. Codes, prompts, and all related resources are available at https://github.com/microsoft/Alympics.",arxiv,http://arxiv.org/abs/2311.03220v4,,2311.032204,,,http://arxiv.org/pdf/2311.03220v4,cs.CL; cs.AI; cs.GT
Beyond Nash Equilibrium: Bounded Rationality of LLMs and humans in Strategic Decision-making,Kehan Zheng; Jinfeng Zhou; Hongning Wang,2025,"Large language models are increasingly used in strategic decision-making settings, yet evidence shows that, like humans, they often deviate from full rationality. In this study, we compare LLMs and humans using experimental paradigms directly adapted from behavioral game-theory research. We focus on two well-studied strategic games, Rock-Paper-Scissors and the Prisoner's Dilemma, which are well known for revealing systematic departures from rational play in human subjects. By placing LLMs in identical experimental conditions, we evaluate whether their behaviors exhibit the bounded rationality characteristic of humans. Our findings show that LLMs reproduce familiar human heuristics, such as outcome-based strategy switching and increased cooperation when future interaction is possible, but they apply these rules more rigidly and demonstrate weaker sensitivity to the dynamic changes in the game environment. Model-level analyses reveal distinctive architectural signatures in strategic behavior, and even reasoning models sometimes struggle to find effective strategies in adaptive situations. These results indicate that current LLMs capture only a partial form of human-like bounded rationality and highlight the need for training methods that encourage flexible opponent modeling and stronger context awareness.",arxiv,http://arxiv.org/abs/2506.09390v1,,2506.093901,,,http://arxiv.org/pdf/2506.09390v1,cs.AI; cs.GT
CivRealm: A Learning and Reasoning Odyssey in Civilization for Decision-Making Agents,Siyuan Qi; Shuo Chen; Yexin Li; Xiangyu Kong; Junqi Wang; Bangcheng Yang; Pring Wong; Yifan Zhong; Xiaoyuan Zhang; Zhaowei Zhang; Nian Liu; Wei Wang; Yaodong Yang; Song-Chun Zhu,2024,"The generalization of decision-making agents encompasses two fundamental elements: learning from past experiences and reasoning in novel contexts. However, the predominant emphasis in most interactive environments is on learning, often at the expense of complexity in reasoning. In this paper, we introduce CivRealm, an environment inspired by the Civilization game. Civilization's profound alignment with human history and society necessitates sophisticated learning, while its ever-changing situations demand strong reasoning to generalize. Particularly, CivRealm sets up an imperfect-information general-sum game with a changing number of players; it presents a plethora of complex features, challenging the agent to deal with open-ended stochastic environments that require diplomacy and negotiation skills. Within CivRealm, we provide interfaces for two typical agent types: tensor-based agents that focus on learning, and language-based agents that emphasize reasoning. To catalyze further research, we present initial results for both paradigms. The canonical RL-based agents exhibit reasonable performance in mini-games, whereas both RL- and LLM-based agents struggle to make substantial progress in the full game. Overall, CivRealm stands as a unique learning and reasoning challenge for decision-making agents. The code is available at https://github.com/bigai-ai/civrealm.",arxiv,http://arxiv.org/abs/2401.10568v2,,2401.105682,,,http://arxiv.org/pdf/2401.10568v2,cs.AI
DipLLM: Fine-Tuning LLM for Strategic Decision-making in Diplomacy,Kaixuan Xu; Jiajun Chai; Sicheng Li; Yuqian Fu; Yuanheng Zhu; Dongbin Zhao,2025,"Diplomacy is a complex multiplayer game that requires both cooperation and competition, posing significant challenges for AI systems. Traditional methods rely on equilibrium search to generate extensive game data for training, which demands substantial computational resources. Large Language Models (LLMs) offer a promising alternative, leveraging pre-trained knowledge to achieve strong performance with relatively small-scale fine-tuning. However, applying LLMs to Diplomacy remains challenging due to the exponential growth of possible action combinations and the intricate strategic interactions among players. To address this challenge, we propose DipLLM, a fine-tuned LLM-based agent that learns equilibrium policies for Diplomacy. DipLLM employs an autoregressive factorization framework to simplify the complex task of multi-unit action assignment into a sequence of unit-level decisions. By defining an equilibrium policy within this framework as the learning objective, we fine-tune the model using only 1.5% of the data required by the state-of-the-art Cicero model, surpassing its performance. Our results demonstrate the potential of fine-tuned LLMs for tackling complex strategic decision-making in multiplayer games.",arxiv,http://arxiv.org/abs/2506.09655v2,,2506.096552,,,http://arxiv.org/pdf/2506.09655v2,cs.AI; cs.LG
DSGBench: A Diverse Strategic Game Benchmark for Evaluating LLM-based Agents in Complex Decision-Making Environments,Wenjie Tang; Yuan Zhou; Erqiang Xu; Keyan Cheng; Minne Li; Liquan Xiao,2025,"Large Language Model~(LLM) based agents have been increasingly popular in solving complex and dynamic tasks, which requires proper evaluation systems to assess their capabilities. Nevertheless, existing benchmarks usually either focus on single-objective tasks or use overly broad assessing metrics, failing to provide a comprehensive inspection of the actual capabilities of LLM-based agents in complicated decision-making tasks. To address these issues, we introduce DSGBench, a more rigorous evaluation platform for strategic decision-making. Firstly, it incorporates six complex strategic games which serve as ideal testbeds due to their long-term and multi-dimensional decision-making demands and flexibility in customizing tasks of various difficulty levels or multiple targets. Secondly, DSGBench employs a fine-grained evaluation scoring system which examines the decision-making capabilities by looking into the performance in five specific dimensions and offering a comprehensive assessment in a well-designed way. Furthermore, DSGBench also incorporates an automated decision-tracking mechanism which enables in-depth analysis of agent behaviour patterns and the changes in their strategies. We demonstrate the advances of DSGBench by applying it to multiple popular LLM-based agents and our results suggest that DSGBench provides valuable insights in choosing LLM-based agents as well as improving their future development. DSGBench is available at https://github.com/DeciBrain-Group/DSGBench.",arxiv,http://arxiv.org/abs/2503.06047v1,,2503.060471,,,http://arxiv.org/pdf/2503.06047v1,cs.AI; cs.CL
Dynamic Coalition Structure Detection in Natural Language-based Interactions,Abhishek N. Kulkarni; Andy Liu; Jean-Raphael Gaglione; Daniel Fried; Ufuk Topcu,2025,"In strategic multi-agent sequential interactions, detecting dynamic coalition structures is crucial for understanding how self-interested agents coordinate to influence outcomes. However, natural-language-based interactions introduce unique challenges to coalition detection due to ambiguity over intents and difficulty in modeling players' subjective perspectives. We propose a new method that leverages recent advancements in large language models and game theory to predict dynamic multilateral coalition formation in Diplomacy, a strategic multi-agent game where agents negotiate coalitions using natural language. The method consists of two stages. The first stage extracts the set of agreements discussed by two agents in their private dialogue, by combining a parsing-based filtering function with a fine-tuned language model trained to predict player intents. In the second stage, we define a new metric using the concept of subjective rationalizability from hypergame theory to evaluate the expected value of an agreement for each player. We then compute this metric for each agreement identified in the first stage by assessing the strategic value of the agreement for both players and taking into account the subjective belief of one player that the second player would honor the agreement. We demonstrate that our method effectively detects potential coalition structures in online Diplomacy gameplay by assigning high values to agreements likely to be honored and low values to those likely to be violated. The proposed method provides foundational insights into coalition formation in multi-agent environments with language-based negotiation and offers key directions for future research on the analysis of complex natural language-based interactions between agents.",arxiv,http://arxiv.org/abs/2502.16339v1,,2502.163391,,,http://arxiv.org/pdf/2502.16339v1,cs.MA; cs.CL; cs.GT
Escalation Risks from Language Models in Military and Diplomatic Decision-Making,Juan-Pablo Rivera; Gabriel Mukobi; Anka Reuel; Max Lamparth; Chandler Smith; Jacquelyn Schneider,2024,"Governments are increasingly considering integrating autonomous AI agents in high-stakes military and foreign-policy decision-making, especially with the emergence of advanced generative AI models like GPT-4. Our work aims to scrutinize the behavior of multiple AI agents in simulated wargames, specifically focusing on their predilection to take escalatory actions that may exacerbate multilateral conflicts. Drawing on political science and international relations literature about escalation dynamics, we design a novel wargame simulation and scoring framework to assess the escalation risks of actions taken by these agents in different scenarios. Contrary to prior studies, our research provides both qualitative and quantitative insights and focuses on large language models (LLMs). We find that all five studied off-the-shelf LLMs show forms of escalation and difficult-to-predict escalation patterns. We observe that models tend to develop arms-race dynamics, leading to greater conflict, and in rare cases, even to the deployment of nuclear weapons. Qualitatively, we also collect the models' reported reasonings for chosen actions and observe worrying justifications based on deterrence and first-strike tactics. Given the high stakes of military and foreign-policy contexts, we recommend further examination and cautious consideration before deploying autonomous language model agents for strategic military or diplomatic decision-making.",arxiv,http://arxiv.org/abs/2401.03408v1,10.1145/3630106.3658942,2401.034081,"The 2024 ACM Conference on Fairness, Accountability, and
  Transparency (FAccT 24), June 3-6, 2024, Rio de Janeiro, Brazil",,http://arxiv.org/pdf/2401.03408v1,cs.AI; cs.CL; cs.CY; cs.MA
Human vs. Machine: Behavioral Differences Between Expert Humans and Language Models in Wargame Simulations,Max Lamparth; Anthony Corso; Jacob Ganz; Oriana Skylar Mastro; Jacquelyn Schneider; Harold Trinkunas,2024,"To some, the advent of artificial intelligence (AI) promises better decision-making and increased military effectiveness while reducing the influence of human error and emotions. However, there is still debate about how AI systems, especially large language models (LLMs) that can be applied to many tasks, behave compared to humans in high-stakes military decision-making scenarios with the potential for increased risks towards escalation. To test this potential and scrutinize the use of LLMs for such purposes, we use a new wargame experiment with 214 national security experts designed to examine crisis escalation in a fictional U.S.-China scenario and compare the behavior of human player teams to LLM-simulated team responses in separate simulations. Here, we find that the LLM-simulated responses can be more aggressive and significantly affected by changes in the scenario. We show a considerable high-level agreement in the LLM and human responses and significant quantitative and qualitative differences in individual actions and strategic tendencies. These differences depend on intrinsic biases in LLMs regarding the appropriate level of violence following strategic instructions, the choice of LLM, and whether the LLMs are tasked to decide for a team of players directly or first to simulate dialog between a team of players. When simulating the dialog, the discussions lack quality and maintain a farcical harmony. The LLM simulations cannot account for human player characteristics, showing no significant difference even for extreme traits, such as ""pacifist"" or ""aggressive sociopath."" When probing behavioral consistency across individual moves of the simulation, the tested LLMs deviated from each other but generally showed somewhat consistent behavior. Our results motivate policymakers to be cautious before granting autonomy or following AI-based strategy recommendations.",arxiv,http://arxiv.org/abs/2403.03407v4,,2403.034074,,,http://arxiv.org/pdf/2403.03407v4,cs.CY; cs.AI; cs.CL
Le formateur et son public dans le cadre de l’élaboration d’une simulation de type <i>wargame</i> sur plateau,Stéphane Goria; Philippe Hardy,2019,"Abstract Le wargame est un outil de réflexion qui emploie des techniques créatives pour stimuler l’imagination des historiens, des décideurs et des analystes dans un but d’identification d’opportunités et de menaces. Son objet est de permettre à ses joueurs de recréer des situations spécifiques et, plus important encore, d’être capable d’explorer ce qui aurait pu (approche historique) ou pourrait (approche prospective) se passer si le joueur décidait de faire les choses différemment. Issu d’une tradition assez longue de tentatives d’adaptation du jeu d’échecs à la simulation de bataille, le wargame s’applique depuis plus de deux siècles à la modélisation d’affrontements militaires à des fins de formation et d’élaboration de nouvelles stratégies ou tactiques. Par la suite, son champ d’application s’est étendu, il y a un peu plus d’un siècle, à la réflexion historico-militaire et depuis une soixantaine d’années à l’aide à la décision stratégique concernant des affrontements concurrentiels et économiques. Selon les moyens disponibles et les contextes de leurs mises en œuvre, les wargames prennent désormais quatre formes différentes : jeux de rôles de type grandeur nature, simulations informatiques, modélisation à base de figurines (ou sandbox) et modélisation sur des cartes ou plateaux. Nous nous intéresserons, dans le cadre de ce travail, spécifiquement aux cas des wargames sur cartes et plateaux (board wargames). Nous les aborderons d’abord en tant que moyen de compréhension d’une situation historique et militaire, puis en tant que transposition à des fins d’analyse stratégique concurrentielle. Nous commencerons par en décrire les contours historiques et fondamentaux pratiques. Puis, nous montrerons comment le formateur peut adapter ou concevoir le “jeu” selon la situation qu’il doit modéliser ainsi qu’au public auquel il est destiné. Nous discuterons ainsi de la conception d’un wargame en fonction des objectifs visés, du développement du prototype et de la phase de tests en tant que première confrontation au public ciblé par le formateur. Nous présenterons aussi comment, la modélisation d’un wargame est transposable à la modélisation d’un marché. Au-delà de l’aspect ludique et des objectifs du jeu, nous montrerons comment les participants peuvent prendre part à sa conception. De cette manière, nous aborderons la réflexion autour de la conception du jeu qui, bien menée, permet d’appréhender dans son entier un environnement concurrentiel et ses acteurs et d’en comprendre tous ses mécanismes et ses enjeux.",crossref,https://doi.org/10.2478/bgs-2019-0003,10.2478/bgs-2019-0003,,Board Game Studies Journal,3.0,,journal-article
LLMs are Superior Feedback Providers: Bootstrapping Reasoning for Lie Detection with Self-Generated Feedback,Tanushree Banerjee; Richard Zhu; Runzhe Yang; Karthik Narasimhan,2024,"Large Language Models (LLMs) excel at generating human-like dialogues and comprehending text. However, understanding the subtleties of complex exchanges in language remains a challenge. We propose a bootstrapping framework that leverages self-generated feedback to enhance LLM reasoning capabilities for lie detection. The framework consists of three stages: suggestion, feedback collection, and modification. In the suggestion stage, a cost-effective language model generates initial predictions based on game state and dialogue. The feedback-collection stage involves a language model providing feedback on these predictions. In the modification stage, a more advanced language model refines the initial predictions using the auto-generated feedback. We investigate the application of the proposed framework for detecting betrayal and deception in Diplomacy games, and compare it with feedback from professional human players. The LLM-generated feedback exhibits superior quality and significantly enhances the performance of the model. Our approach achieves a 39% improvement over the zero-shot baseline in lying-F1 without the need for any training data, rivaling state-of-the-art supervised learning results.",arxiv,http://arxiv.org/abs/2408.13915v1,,2408.139151,,,http://arxiv.org/pdf/2408.13915v1,cs.CL; cs.AI
